RecordedAtTime,DirectionRef,PublishedLineName,OriginName,OriginLat,OriginLong,DestinationName,DestinationLat,DestinationLong,VehicleRef,VehicleLocation.Latitude,VehicleLocation.Longitude,NextStopPointName,ArrivalProximityText,DistanceFromStop,ExpectedArrivalTime,ScheduledArrivalTime,time_delta,time_delta_mins,time_diff,time_diff_mins
2017-08-01 18:42:04,0,M100,1 AV/125 ST,40.801968,-73.93135799999997,INWOOD 220 ST via AMSTERDAM via BWAY,40.871902,-73.913101,NYCT_8392,40.810885,-73.952874,W 125 ST/ST NICHOLAS AV,at stop,16.0,2017-08-01 18:42:33,18:43:29,0 days 01:09:23.000000000,70,0 days 01:09:23.000000000,70
2017-08-02 15:54:31,0,M100,1 AV/125 ST,40.801968,-73.93135799999997,INWOOD 220 ST via AMSTERDAM via BWAY,40.871902,-73.913101,NYCT_4342,40.810883,-73.952872,W 125 ST/ST NICHOLAS AV,at stop,16.0,2017-08-02 15:54:49,15:51:11,0 days 21:12:16.000000000,1273,0 days 21:12:16.000000000,1273
2017-08-02 19:04:15,0,M100,1 AV/125 ST,40.801968,-73.93135799999997,INWOOD 220 ST via AMSTERDAM via BWAY,40.871902,-73.913101,NYCT_4382,40.810932,-73.952985,W 125 ST/ST NICHOLAS AV,at stop,5.0,2017-08-02 19:04:27,19:01:39,0 days 03:09:38.000000000,190,0 days 03:09:38.000000000,190
2017-08-02 19:14:42,0,M100,1 AV/125 ST,40.801968,-73.93135799999997,INWOOD 220 ST via AMSTERDAM via BWAY,40.871902,-73.913101,NYCT_4342,40.810834,-73.952754,W 125 ST/ST NICHOLAS AV,at stop,27.0,,19:11:39,,0,,0
2017-08-03 13:06:46,0,M100,1 AV/125 ST,40.801968,-73.93135799999997,INWOOD 220 ST via AMSTERDAM via BWAY,40.871902,-73.913101,NYCT_8378,40.81090800000001,-73.952931,W 125 ST/ST NICHOLAS AV,at stop,10.0,2017-08-03 13:07:11,12:35:29,,0,,0
2017-08-03 18:17:14,0,M100,1 AV/125 ST,40.801968,-73.93135799999997,INWOOD 220 ST via AMSTERDAM via BWAY,40.871902,-73.913101,NYCT_4392,40.810948,-73.953025,W 125 ST/ST NICHOLAS AV,at stop,1.0,2017-08-03 18:17:34,18:13:29,0 days 05:10:23.000000000,311,0 days 05:10:23.000000000,311
2017-08-04 11:28:26,0,M100,1 AV/125 ST,40.801968,-73.93135799999997,INWOOD 220 ST via AMSTERDAM via BWAY,40.871902,-73.913101,NYCT_4359,40.810956,-73.95304300000002,W 125 ST/ST NICHOLAS AV,at stop,0.0,,11:24:39,,0,,0
2017-08-04 17:39:04,0,M100,1 AV/125 ST,40.801968,-73.93135799999997,INWOOD 220 ST via AMSTERDAM via BWAY,40.871902,-73.913101,NYCT_4353,40.810891,-73.952889,W 125 ST/ST NICHOLAS AV,at stop,14.0,2017-08-04 17:39:15,17:29:11,,0,,0
2017-08-04 18:18:02,0,M100,1 AV/125 ST,40.801968,-73.93135799999997,INWOOD 220 ST via AMSTERDAM via BWAY,40.871902,-73.913101,NYCT_4101,40.810893,-73.952893,W 125 ST/ST NICHOLAS AV,at stop,14.0,2017-08-04 18:18:43,18:20:29,0 days 00:39:28.000000000,40,0 days 00:39:28.000000000,40
2017-08-04 21:48:55,0,M100,1 AV/125 ST,40.801968,-73.93135799999997,INWOOD 220 ST via AMSTERDAM via BWAY,40.871902,-73.913101,NYCT_4344,40.810911,-73.952937,W 125 ST/ST NICHOLAS AV,at stop,10.0,2017-08-04 21:49:11,21:48:34,0 days 03:30:28.000000000,211,0 days 03:30:28.000000000,211
