RecordedAtTime,DirectionRef,PublishedLineName,OriginName,OriginLat,OriginLong,DestinationName,DestinationLat,DestinationLong,VehicleRef,VehicleLocation.Latitude,VehicleLocation.Longitude,NextStopPointName,ArrivalProximityText,DistanceFromStop,ExpectedArrivalTime,ScheduledArrivalTime,scheduled_time,expected_time,time_diff,time_diff_mins
2017-08-11 14:01:04,0,M100,1 AV/125 ST,40.801968,-73.93135799999999,INWOOD 220 ST via AMSTERDAM via BWAY,40.871902,-73.913101,NYCT_8389,40.810344,-73.951578,W 125 ST/FRED DOUGLASS BL,at stop,5.0,2017-08-11 14:01:36,14:01:01,14:01:01,14:01:36,0 days 00:00:35.000000000,1
2017-08-11 14:40:50,0,M100,1 AV/125 ST,40.801968,-73.93135799999999,INWOOD 220 ST via AMSTERDAM via BWAY,40.871902,-73.913101,NYCT_4343,40.810359999999996,-73.951614,W 125 ST/FRED DOUGLASS BL,at stop,1.0,2017-08-11 14:40:55,14:35:49,14:35:49,14:40:55,0 days 00:05:06.000000000,6
2017-08-11 15:41:02,0,M100,1 AV/125 ST,40.801968,-73.93135799999999,INWOOD 220 ST via AMSTERDAM via BWAY,40.871902,-73.913101,NYCT_8380,40.810338,-73.95156300000001,W 125 ST/FRED DOUGLASS BL,at stop,6.0,2017-08-11 15:41:09,15:15:49,15:15:49,15:41:09,0 days 00:25:20.000000000,26
2017-08-11 17:31:34,0,M100,1 AV/125 ST,40.801968,-73.93135799999999,INWOOD 220 ST via AMSTERDAM via BWAY,40.871902,-73.913101,NYCT_8370,40.810352,-73.95159699999999,W 125 ST/FRED DOUGLASS BL,at stop,3.0,2017-08-11 17:31:48,17:35:49,17:35:49,17:31:48,-1 days +23:55:59.000000000,-4
2017-08-11 19:00:49,0,M100,1 AV/125 ST,40.801968,-73.93135799999999,INWOOD 220 ST via AMSTERDAM via BWAY,40.871902,-73.913101,NYCT_8394,40.810359000000005,-73.951612,W 125 ST/FRED DOUGLASS BL,at stop,1.0,2017-08-11 19:01:07,19:00:26,19:00:26,19:01:07,0 days 00:00:41.000000000,1
2017-08-12 22:33:42,0,M100,1 AV/125 ST,40.801968,-73.93135799999999,INWOOD 220 ST via AMSTERDAM via BWAY,40.871902,-73.913101,NYCT_4362,40.810322,-73.95152399999999,W 125 ST/FRED DOUGLASS BL,at stop,10.0,2017-08-12 22:33:56,22:36:41,22:36:41,22:33:56,-1 days +23:57:15.000000000,-2
2017-08-13 12:13:56,0,M100,1 AV/125 ST,40.801968,-73.93135799999999,INWOOD 220 ST via AMSTERDAM via BWAY,40.871902,-73.913101,NYCT_4747,40.810257,-73.951368,W 125 ST/FRED DOUGLASS BL,at stop,25.0,2017-08-13 12:14:17,12:15:16,12:15:16,12:14:17,-1 days +23:59:01.000000000,0
2017-08-13 19:24:51,0,M100,1 AV/125 ST,40.801968,-73.93135799999999,INWOOD 220 ST via AMSTERDAM via BWAY,40.871902,-73.913101,NYCT_8377,40.810357,-73.951608,W 125 ST/FRED DOUGLASS BL,at stop,2.0,2017-08-13 19:24:57,19:21:16,19:21:16,19:24:57,0 days 00:03:41.000000000,4
2017-08-14 13:55:45,0,M100,1 AV/125 ST,40.801968,-73.93135799999999,INWOOD 220 ST via AMSTERDAM via BWAY,40.871902,-73.913101,NYCT_4136,40.810322,-73.95152399999999,W 125 ST/FRED DOUGLASS BL,at stop,10.0,2017-08-14 13:56:01,13:54:01,13:54:01,13:56:01,0 days 00:02:00.000000000,2
2017-08-14 16:36:24,0,M100,1 AV/125 ST,40.801968,-73.93135799999999,INWOOD 220 ST via AMSTERDAM via BWAY,40.871902,-73.913101,NYCT_4387,40.810367,-73.95163199999999,W 125 ST/FRED DOUGLASS BL,at stop,0.0,2017-08-14 16:36:55,16:37:49,16:37:49,16:36:55,-1 days +23:59:06.000000000,0
2017-08-15 11:57:36,0,M100,1 AV/125 ST,40.801968,-73.93135799999999,INWOOD 220 ST via AMSTERDAM via BWAY,40.871902,-73.913101,NYCT_4378,40.810311999999996,-73.9515,W 125 ST/FRED DOUGLASS BL,at stop,12.0,2017-08-15 11:57:49,12:04:14,12:04:14,11:57:49,-1 days +23:53:35.000000000,-6
2017-08-15 18:48:39,0,M100,1 AV/125 ST,40.801968,-73.93135799999999,INWOOD 220 ST via AMSTERDAM via BWAY,40.871902,-73.913101,NYCT_5590,40.810289000000004,-73.951444,W 125 ST/FRED DOUGLASS BL,at stop,17.0,2017-08-15 18:48:51,18:42:14,18:42:14,18:48:51,0 days 00:06:37.000000000,7
2017-08-16 11:28:54,0,M100,1 AV/125 ST,40.801968,-73.93135799999999,INWOOD 220 ST via AMSTERDAM via BWAY,40.871902,-73.913101,NYCT_4376,40.810367,-73.95163199999999,W 125 ST/FRED DOUGLASS BL,at stop,0.0,2017-08-16 11:29:22,11:23:26,11:23:26,11:29:22,0 days 00:05:56.000000000,6
2017-08-16 13:18:55,0,M100,1 AV/125 ST,40.801968,-73.93135799999999,INWOOD 220 ST via AMSTERDAM via BWAY,40.871902,-73.913101,NYCT_4372,40.810352,-73.951596,W 125 ST/FRED DOUGLASS BL,at stop,3.0,2017-08-16 13:19:09,13:22:01,13:22:01,13:19:09,-1 days +23:57:08.000000000,-2
2017-08-16 20:30:20,0,M100,1 AV/125 ST,40.801968,-73.93135799999999,INWOOD 220 ST via AMSTERDAM via BWAY,40.871902,-73.913101,NYCT_4714,40.810327,-73.951536,W 125 ST/FRED DOUGLASS BL,at stop,9.0,2017-08-16 20:30:32,20:27:16,20:27:16,20:30:32,0 days 00:03:16.000000000,4
2017-08-17 10:21:12,0,M100,1 AV/125 ST,40.801968,-73.93135799999999,INWOOD 220 ST via AMSTERDAM via BWAY,40.871902,-73.913101,NYCT_4404,40.810334000000005,-73.951553,W 125 ST/FRED DOUGLASS BL,at stop,7.0,2017-08-17 10:21:30,10:23:26,10:23:26,10:21:30,-1 days +23:58:04.000000000,-1
2017-08-17 11:01:33,0,M100,1 AV/125 ST,40.801968,-73.93135799999999,INWOOD 220 ST via AMSTERDAM via BWAY,40.871902,-73.913101,NYCT_4396,40.810334000000005,-73.951553,W 125 ST/FRED DOUGLASS BL,at stop,7.0,2017-08-17 11:01:37,11:03:26,11:03:26,11:01:37,-1 days +23:58:11.000000000,-1
